date,inspection_step,value,upper_spec,target,lower_spec
2022-03-27,A,20.7,22,21.3,20.6
2022-03-28,A,21.3,22,21.3,20.6
2022-03-29,A,21.6,22,21.3,20.6
2022-03-30,A,21,22,21.3,20.6
2022-03-31,A,21.3,22,21.3,20.6
2022-04-01,A,21.1,22,21.3,20.6
2022-04-02,A,21.5,22,21.3,20.6
2022-04-03,A,21.4,22,21.3,20.6
2022-04-04,A,21.6,22,21.3,20.6
2022-04-05,A,21.8,22,21.3,20.6
2022-04-06,A,21.7,22,21.3,20.6
2022-04-07,A,21.2,22,21.3,20.6
2022-04-08,A,20.9,22,21.3,20.6
2022-04-09,A,21.4,22,21.3,20.6
2022-04-10,A,21.6,22,21.3,20.6
2022-04-11,A,21.7,22,21.3,20.6
2022-04-12,A,21.3,22,21.3,20.6
2022-04-13,A,21.4,22,21.3,20.6
2022-04-14,A,20.7,22,21.3,20.6
2022-04-15,A,20.5,22,21.3,20.6
2022-04-16,A,21.6,22,21.3,20.6
2022-04-17,A,21.3,22,21.3,20.6
2022-04-18,A,21.3,22,21.3,20.6
2022-04-19,A,21.6,22,21.3,20.6
2022-04-20,A,21.3,22,21.3,20.6
2022-04-21,A,21.3,22,21.3,20.6
2022-04-22,A,21,22,21.3,20.6
2022-04-23,A,21.6,22,21.3,20.6
2022-04-24,A,21,22,21.3,20.6
2022-04-25,A,21.3,22,21.3,20.6
2022-04-26,A,21.1,22,21.3,20.6
2022-04-27,A,21.6,22,21.3,20.6
2022-04-28,A,21.4,22,21.3,20.6
2022-04-29,A,21.5,22,21.3,20.6
2022-04-30,A,21.3,22,21.3,20.6
2022-05-01,A,21.4,22,21.3,20.6
2022-05-02,A,21.4,22,21.3,20.6
2022-05-03,A,21.1,22,21.3,20.6
2022-05-04,A,21.3,22,21.3,20.6
2022-05-05,A,21.1,22,21.3,20.6
2022-05-06,A,21.2,22,21.3,20.6
2022-05-07,A,21.6,22,21.3,20.6
2022-05-08,A,21.7,22,21.3,20.6
2022-05-09,A,21.4,22,21.3,20.6
2022-05-10,A,21.2,22,21.3,20.6
2022-05-11,A,21,22,21.3,20.6
2022-05-12,A,21.4,22,21.3,20.6
2022-05-13,A,21.6,22,21.3,20.6
2022-05-14,A,21.3,22,21.3,20.6
2022-05-15,A,21.4,22,21.3,20.6
2022-05-16,A,21.2,22,21.3,20.6
2022-05-17,A,21.2,22,21.3,20.6
2022-05-18,A,21.6,22,21.3,20.6
2022-05-19,A,21.7,22,21.3,20.6
2022-05-20,A,21.6,22,21.3,20.6
2022-05-21,A,21.6,22,21.3,20.6
2022-05-22,A,21.4,22,21.3,20.6
2022-05-23,A,21.2,22,21.3,20.6
2022-01-01,B,31.6,32.1,31.6,31.1
2022-01-02,B,31.4,32.1,31.6,31.1
2022-01-03,B,31.6,32.1,31.6,31.1
2022-01-04,B,31.5,32.1,31.6,31.1
2022-01-05,B,31.5,32.1,31.6,31.1
2022-01-06,B,31.1,32.1,31.6,31.1
2022-01-07,B,31.8,32.1,31.6,31.1
2022-01-08,B,31.9,32.1,31.6,31.1
2022-01-09,B,31.8,32.1,31.6,31.1
2022-01-10,B,31.5,32.1,31.6,31.1
2022-01-11,B,31.5,32.1,31.6,31.1
2022-01-12,B,31.1,32.1,31.6,31.1
2022-01-13,B,31.8,32.1,31.6,31.1
2022-01-14,B,31.6,32.1,31.6,31.1
2022-01-15,B,31.4,32.1,31.6,31.1
2022-01-16,B,31.6,32.1,31.6,31.1
2022-01-17,B,31.9,32.1,31.6,31.1
2022-01-18,B,32,32.1,31.6,31.1
2022-01-19,B,31.4,32.1,31.6,31.1
2022-01-20,B,31.5,32.1,31.6,31.1
2022-01-21,B,31.9,32.1,31.6,31.1
2022-01-22,B,31.9,32.1,31.6,31.1
2022-01-23,B,31.8,32.1,31.6,31.1
2022-01-24,B,31.6,32.1,31.6,31.1
2022-01-25,B,31.6,32.1,31.6,31.1
2022-01-26,B,31.6,32.1,31.6,31.1
2022-01-27,B,31.6,32.1,31.6,31.1
2022-01-28,B,31.3,32.1,31.6,31.1
2022-01-29,B,31.8,32.1,31.6,31.1
2022-01-30,B,31.6,32.1,31.6,31.1
2022-01-31,B,31.5,32.1,31.6,31.1
2022-02-01,B,31.5,32.1,31.6,31.1
2022-02-02,B,31.7,32.1,31.6,31.1
2022-02-03,B,32,32.1,31.6,31.1
2022-02-04,B,31.8,32.1,31.6,31.1
2022-02-05,B,31.8,32.1,31.6,31.1
2022-02-06,B,31.7,32.1,31.6,31.1
2022-02-07,B,31.5,32.1,31.6,31.1
2022-02-08,B,31.8,32.1,31.6,31.1
2022-02-09,B,31.8,32.1,31.6,31.1
2022-02-10,B,31.5,32.1,31.6,31.1
2022-02-11,B,31.6,32.1,31.6,31.1
2022-02-12,B,31.8,32.1,31.6,31.1
2022-02-13,B,31.6,32.1,31.6,31.1
2022-02-14,B,31.3,32.1,31.6,31.1
2022-02-15,B,31.9,32.1,31.6,31.1
2022-02-16,B,31.9,32.1,31.6,31.1
2022-02-17,B,31.6,32.1,31.6,31.1
2022-02-18,B,31.7,32.1,31.6,31.1
2022-02-19,B,31.6,32.1,31.6,31.1
2022-02-20,B,31.6,32.1,31.6,31.1
2022-02-21,B,31.7,32.1,31.6,31.1
2022-02-22,B,31.7,32.1,31.6,31.1
2022-02-23,B,32,32.1,31.6,31.1
2022-02-24,B,31.6,32.1,31.6,31.1
2022-02-25,B,31.4,32.1,31.6,31.1
2022-02-26,B,31.6,32.1,31.6,31.1
2022-02-27,B,31.8,32.1,31.6,31.1
2022-02-28,B,31.7,32.1,31.6,31.1
2022-03-01,B,31.3,32.1,31.6,31.1
2022-03-02,B,31.4,32.1,31.6,31.1
2022-03-03,B,31.6,32.1,31.6,31.1
2022-03-04,B,31.7,32.1,31.6,31.1
2022-03-05,B,31.7,32.1,31.6,31.1
2022-03-06,B,31.7,32.1,31.6,31.1
2022-03-07,B,31.9,32.1,31.6,31.1
2022-03-08,B,31.9,32.1,31.6,31.1
2022-03-09,B,31.7,32.1,31.6,31.1
2022-03-10,B,31.5,32.1,31.6,31.1
2022-03-11,B,31.8,32.1,31.6,31.1
2022-03-12,B,31.7,32.1,31.6,31.1
2022-03-13,B,31.6,32.1,31.6,31.1
2022-03-14,B,31.8,32.1,31.6,31.1
2022-03-15,B,31.8,32.1,31.6,31.1
2022-03-16,B,31.6,32.1,31.6,31.1
2022-03-17,B,31.7,32.1,31.6,31.1
2022-03-18,B,31.7,32.1,31.6,31.1
2022-03-19,B,31.8,32.1,31.6,31.1
2022-03-20,B,31.6,32.1,31.6,31.1
2022-03-21,B,31.5,32.1,31.6,31.1
2022-03-22,B,32,32.1,31.6,31.1
2022-03-23,B,31.6,32.1,31.6,31.1
2022-03-24,B,31.7,32.1,31.6,31.1
2022-03-25,B,31.6,32.1,31.6,31.1
2022-03-26,B,31.6,32.1,31.6,31.1
2022-03-27,B,31.4,32.1,31.6,31.1
2022-03-28,B,31.6,32.1,31.6,31.1
2022-03-29,B,31.7,32.1,31.6,31.1
2022-03-30,B,31.8,32.1,31.6,31.1
2022-03-31,B,31.5,32.1,31.6,31.1
2022-04-01,B,31.5,32.1,31.6,31.1
2022-04-02,B,31.7,32.1,31.6,31.1
2022-04-03,B,31.8,32.1,31.6,31.1
2022-04-04,B,31.3,32.1,31.6,31.1
2022-04-05,B,31.5,32.1,31.6,31.1
2022-04-06,B,31.6,32.1,31.6,31.1
2022-04-07,B,31.5,32.1,31.6,31.1
2022-04-08,B,31.6,32.1,31.6,31.1
2022-04-09,B,31.7,32.1,31.6,31.1
2022-04-10,B,31.9,32.1,31.6,31.1
2022-04-11,B,31.5,32.1,31.6,31.1
2022-04-12,B,31.6,32.1,31.6,31.1
2022-04-13,B,31.5,32.1,31.6,31.1
2022-04-14,B,31.4,32.1,31.6,31.1
2022-04-15,B,31.5,32.1,31.6,31.1
2022-04-16,B,31.9,32.1,31.6,31.1
2022-04-17,B,31.4,32.1,31.6,31.1
2022-04-18,B,31.9,32.1,31.6,31.1
2022-04-19,B,31.8,32.1,31.6,31.1
2022-04-20,B,31.5,32.1,31.6,31.1
2022-04-21,B,31.6,32.1,31.6,31.1
2022-04-22,B,31.7,32.1,31.6,31.1
2022-04-23,B,31.6,32.1,31.6,31.1
2022-04-24,B,31.7,32.1,31.6,31.1
2022-04-25,B,31.5,32.1,31.6,31.1
2022-04-26,B,31.7,32.1,31.6,31.1
2022-04-27,B,31.7,32.1,31.6,31.1
2022-04-28,B,31.6,32.1,31.6,31.1
2022-04-29,B,31.6,32.1,31.6,31.1
2022-04-30,B,31.5,32.1,31.6,31.1
2022-05-01,B,31.5,32.1,31.6,31.1
2022-05-02,B,31.6,32.1,31.6,31.1
2022-05-03,B,31.4,32.1,31.6,31.1
2022-05-04,B,31.5,32.1,31.6,31.1
2022-05-05,B,31.8,32.1,31.6,31.1
2022-05-06,B,31.5,32.1,31.6,31.1
2022-05-07,B,31.8,32.1,31.6,31.1
2022-05-08,B,31.8,32.1,31.6,31.1
2022-05-09,B,31.4,32.1,31.6,31.1
2022-05-10,B,31.6,32.1,31.6,31.1
2022-05-11,B,31.7,32.1,31.6,31.1
2022-05-12,B,31.4,32.1,31.6,31.1
2022-05-13,B,31.5,32.1,31.6,31.1
2022-05-14,B,31.3,32.1,31.6,31.1
2022-05-15,B,31.8,32.1,31.6,31.1
2022-05-16,B,31.4,32.1,31.6,31.1
2022-05-17,B,31.5,32.1,31.6,31.1
2022-05-18,B,31.9,32.1,31.6,31.1
2022-05-19,B,31.4,32.1,31.6,31.1
2022-05-20,B,31.6,32.1,31.6,31.1
2022-05-21,B,31.5,32.1,31.6,31.1
2022-05-22,B,31.4,32.1,31.6,31.1
2022-05-23,B,31.9,32.1,31.6,31.1
2022-01-01,C,29.7,32.5,28.9,25.3
2022-01-02,C,27.6,32.5,28.9,25.3
2022-01-03,C,27.8,32.5,28.9,25.3
2022-01-04,C,30.9,32.5,28.9,25.3
2022-01-05,C,27.9,32.5,28.9,25.3
2022-01-06,C,30.3,32.5,28.9,25.3
2022-01-07,C,29.8,32.5,28.9,25.3
2022-01-08,C,30,32.5,28.9,25.3
2022-01-09,C,26.4,32.5,28.9,25.3
2022-01-10,C,30.7,32.5,28.9,25.3
2022-01-11,C,28.6,32.5,28.9,25.3
2022-01-12,C,29.7,32.5,28.9,25.3
2022-01-13,C,29.1,32.5,28.9,25.3
2022-01-14,C,27.8,32.5,28.9,25.3
2022-01-15,C,29.7,32.5,28.9,25.3
2022-01-16,C,27.9,32.5,28.9,25.3
2022-01-17,C,27.2,32.5,28.9,25.3
2022-01-18,C,28,32.5,28.9,25.3
2022-01-19,C,26.4,32.5,28.9,25.3
2022-01-20,C,29.2,32.5,28.9,25.3
2022-01-21,C,32.5,32.5,28.9,25.3
2022-01-22,C,29.4,32.5,28.9,25.3
2022-01-23,C,28.9,32.5,28.9,25.3
2022-01-24,C,27.8,32.5,28.9,25.3
2022-01-25,C,29.8,32.5,28.9,25.3
2022-01-26,C,28.3,32.5,28.9,25.3
2022-01-27,C,30.9,32.5,28.9,25.3
2022-01-28,C,30.1,32.5,28.9,25.3
2022-01-29,C,29.6,32.5,28.9,25.3
2022-01-30,C,27.6,32.5,28.9,25.3
2022-01-31,C,29,32.5,28.9,25.3
2022-02-01,C,27.7,32.5,28.9,25.3
2022-02-02,C,30.1,32.5,28.9,25.3
2022-02-03,C,29.1,32.5,28.9,25.3
2022-02-04,C,29.9,32.5,28.9,25.3
2022-02-05,C,27.7,32.5,28.9,25.3
2022-02-06,C,29.3,32.5,28.9,25.3
2022-02-07,C,29.4,32.5,28.9,25.3
2022-02-08,C,30.2,32.5,28.9,25.3
2022-02-09,C,26.7,32.5,28.9,25.3
2022-02-10,C,27.6,32.5,28.9,25.3
2022-02-11,C,27.8,32.5,28.9,25.3
2022-02-12,C,28.6,32.5,28.9,25.3
2022-02-13,C,30,32.5,28.9,25.3
2022-02-14,C,28.4,32.5,28.9,25.3
2022-02-15,C,29.1,32.5,28.9,25.3
2022-02-16,C,28.4,32.5,28.9,25.3
2022-02-17,C,28.3,32.5,28.9,25.3
2022-02-18,C,29.3,32.5,28.9,25.3
2022-02-19,C,28.3,32.5,28.9,25.3
2022-02-20,C,25.1,32.5,28.9,25.3
2022-02-21,C,31.4,32.5,28.9,25.3
2022-02-22,C,30.9,32.5,28.9,25.3
2022-02-23,C,28.2,32.5,28.9,25.3
2022-02-24,C,30.5,32.5,28.9,25.3
2022-02-25,C,27.4,32.5,28.9,25.3
2022-02-26,C,28.5,32.5,28.9,25.3
2022-02-27,C,26,32.5,28.9,25.3
2022-02-28,C,29.3,32.5,28.9,25.3
2022-03-01,C,29,32.5,28.9,25.3
2022-03-02,C,28.7,32.5,28.9,25.3
2022-03-03,C,28.5,32.5,28.9,25.3
2022-03-04,C,29.7,32.5,28.9,25.3
2022-03-05,C,27.4,32.5,28.9,25.3
2022-03-06,C,26.4,32.5,28.9,25.3
2022-03-07,C,29.4,32.5,28.9,25.3
2022-03-08,C,26.9,32.5,28.9,25.3
2022-03-09,C,29,32.5,28.9,25.3
2022-03-10,C,30.1,32.5,28.9,25.3
2022-03-11,C,29.8,32.5,28.9,25.3
2022-03-12,C,26.8,32.5,28.9,25.3
2022-03-13,C,28,32.5,28.9,25.3
2022-03-14,C,27.9,32.5,28.9,25.3
2022-03-15,C,28.8,32.5,28.9,25.3
2022-03-16,C,30.6,32.5,28.9,25.3
2022-03-17,C,29.8,32.5,28.9,25.3
2022-03-18,C,26.4,32.5,28.9,25.3
2022-03-19,C,28.8,32.5,28.9,25.3
2022-03-20,C,29.5,32.5,28.9,25.3
2022-03-21,C,29.8,32.5,28.9,25.3
2022-03-22,C,28.5,32.5,28.9,25.3
2022-03-23,C,30.9,32.5,28.9,25.3
2022-03-24,C,28,32.5,28.9,25.3
2022-03-25,C,28.6,32.5,28.9,25.3
2022-03-26,C,28.1,32.5,28.9,25.3
2022-03-27,C,27.5,32.5,28.9,25.3
2022-03-28,C,28.2,32.5,28.9,25.3
2022-03-29,C,28.2,32.5,28.9,25.3
2022-03-30,C,27.8,32.5,28.9,25.3
2022-03-31,C,31,32.5,28.9,25.3
2022-04-01,C,30.2,32.5,28.9,25.3
2022-04-02,C,26.8,32.5,28.9,25.3
2022-04-03,C,29.4,32.5,28.9,25.3
2022-04-04,C,28.2,32.5,28.9,25.3
2022-04-05,C,27.8,32.5,28.9,25.3
2022-04-06,C,27.8,32.5,28.9,25.3
2022-04-07,C,28.8,32.5,28.9,25.3
2022-04-08,C,29.9,32.5,28.9,25.3
2022-04-09,C,31.3,32.5,28.9,25.3
2022-04-10,C,28.7,32.5,28.9,25.3
2022-04-11,C,30.1,32.5,28.9,25.3
2022-04-12,C,28,32.5,28.9,25.3
2022-04-13,C,31,32.5,28.9,25.3
2022-04-14,C,29.9,32.5,28.9,25.3
2022-04-15,C,28.9,32.5,28.9,25.3
2022-04-16,C,28,32.5,28.9,25.3
2022-04-17,C,28.3,32.5,28.9,25.3
2022-04-18,C,29,32.5,28.9,25.3
2022-04-19,C,29.6,32.5,28.9,25.3
2022-04-20,C,28.8,32.5,28.9,25.3
2022-04-21,C,26.9,32.5,28.9,25.3
2022-04-22,C,27.8,32.5,28.9,25.3
2022-04-23,C,30.3,32.5,28.9,25.3
2022-04-24,C,29,32.5,28.9,25.3
2022-04-25,C,28.2,32.5,28.9,25.3
2022-04-26,C,27.6,32.5,28.9,25.3
2022-04-27,C,28.4,32.5,28.9,25.3
2022-04-28,C,27.7,32.5,28.9,25.3
2022-04-29,C,28.2,32.5,28.9,25.3
2022-04-30,C,28.7,32.5,28.9,25.3
2022-05-01,C,29.8,32.5,28.9,25.3
2022-05-02,C,27.7,32.5,28.9,25.3
2022-05-03,C,27.8,32.5,28.9,25.3
2022-05-04,C,28.6,32.5,28.9,25.3
2022-05-05,C,28.6,32.5,28.9,25.3
2022-05-06,C,30.9,32.5,28.9,25.3
2022-05-07,C,30.3,32.5,28.9,25.3
2022-05-08,C,28.5,32.5,28.9,25.3
2022-05-09,C,28.4,32.5,28.9,25.3
2022-05-10,C,27.7,32.5,28.9,25.3
2022-05-11,C,28.1,32.5,28.9,25.3
2022-05-12,C,29.1,32.5,28.9,25.3
2022-05-13,C,28.5,32.5,28.9,25.3
2022-05-14,C,28.1,32.5,28.9,25.3
2022-05-15,C,30.2,32.5,28.9,25.3
2022-05-16,C,30,32.5,28.9,25.3
2022-05-17,C,29.2,32.5,28.9,25.3
2022-05-18,C,28.9,32.5,28.9,25.3
2022-05-19,C,30.5,32.5,28.9,25.3
2022-05-20,C,26.9,32.5,28.9,25.3
2022-05-21,C,29.8,32.5,28.9,25.3
2022-05-22,C,29.4,32.5,28.9,25.3
2022-05-23,C,27.1,32.5,28.9,25.3
